ID,Player,Position,Age,Height ,Weight,Team,Against,Injury,Concussion,Home_Away,Games_Missed,Week of Injury,Injured
1315,Jalen Collins,DB,22,73,203,Atl,Null,None,0,Null,0,0,0
2144,Jalen Saunders,WR,23,69,165,NO,Null,None,0,Null,0,0,0
1046,Jalil Brown,DB,28,73,207,Ind,Null,None,0,Null,0,0,0
2362,Jalston Fowler,RB,25,71,254,Ten,Null,None,0,Null,0,0,0
983,Jamaal Charles,RB,29,71,199,KC,Null,None,0,Null,0,0,0
1227,Jamar Taylor,DB,25,70,200,Mia,Null,None,0,Null,0,0,0
2143,Jamarca Sanford,DB,30,70,200,NO,Null,None,0,Null,0,0,0
1535,Jamari Lattimore,LB,27,74,229,NYJ,Null,None,0,Null,0,0,0
1410,Jameel McClain,LB,30,73,245,NYG,Null,None,0,Null,0,0,0
1154,Jameill Showers,QB,24,74,230,Dal,Null,None,0,Null,0,0,0
841,Jameis Winston,QB,21,76,231,TB,Null,None,0,Null,0,0,0
992,Jamell Fleming,DB,26,71,206,KC,Null,None,0,Null,0,0,0
1507,James Brewer,OL,28,78,330,NYJ,Null,None,0,Null,0,0,0
1509,James Carpenter,OL,26,77,321,NYJ,Null,None,0,Null,0,0,0
650,James Casey,RB,31,75,240,Den,Null,None,0,Null,0,0,0
1780,James Develin,RB,27,75,255,NE,Null,None,0,Null,0,0,0
1843,James Dockery,DB,27,73,185,Oak,Null,None,0,Null,0,0,0
2303,James Ferentz,OL,26,74,285,Hou,Null,None,0,Null,0,0,0
1130,James Hanna,TE,26,76,260,Dal,Null,None,0,Null,0,0,0
90,James Harrison,LB,36,72,242,Cin,Pit,Concussion,1,0,1,14,1
1976,James Hurst,OL,24,77,308,Bal,Null,None,0,Null,0,0,0
1584,James Ihedigbo,DB,32,73,217,Det,Null,None,0,Null,0,0,0
1930,James Laurinaitis,LB,29,74,248,LAR,Null,None,0,Null,0,0,0
1018,James O'Shaughnessy,TE,23,76,245,KC,Null,None,0,Null,0,0,0
1486,James Sample,DB,23,74,209,Jax,Null,None,0,Null,0,0,0
1691,James Starks,RB,29,74,218,GB,Null,None,0,Null,0,0,0
1356,James Stone,OL,23,75,291,Atl,Null,None,0,Null,0,0,0
1826,James White,RB,23,70,206,NE,Null,None,0,Null,0,0,0
570,James Wilder Jr.,RB,23,73,232,Cin,Null,None,0,Null,0,0,0
1036,James Winchester,TE,26,75,240,KC,Null,None,0,Null,0,0,0
573,James Wright,WR,24,73,201,Cin,Null,None,0,Null,0,0,0
1004,James-Michael Johnson,LB,26,73,240,KC,Null,None,0,Null,0,0,0
1777,Jamie Collins,LB,26,75,250,NE,Null,None,0,Null,0,0,0
1180,Jamil Douglas,OL,23,76,304,Mia,Null,None,0,Null,0,0,0
2032,Jamison Crowder,WR,22,68,185,Wsh,Null,None,0,Null,0,0,0
1905,Jamon Brown,OL,22,76,323,LAR,Null,None,0,Null,0,0,0
2385,Jamon Meredith,OL,29,77,312,Ten,Null,None,0,Null,0,0,0
1925,Janoris Jenkins,DB,27,70,198,LAR,Null,None,0,Null,0,0,0
437,Jaquiski Tartt,DB,23,73,221,SF,Null,None,0,Null,0,0,0
1632,Jared Abbrederis,WR,25,73,195,GB,Null,None,0,Null,0,0,0
448,Jared Allen,LB,33,78,270,SF,Null,None,0,Null,0,0,0
1908,Jared Cook,TE,28,77,254,LAR,Null,None,0,Null,0,0,0
2299,Jared Crick,DL,26,76,285,Hou,Null,None,0,Null,0,0,0
1480,Jared Odrick,DL,28,77,304,Jax,Null,None,0,Null,0,0,0
1350,Jared Smith,OL,25,76,302,Atl,Null,None,0,Null,0,0,0
903,Jared Veldheer,OL,28,80,321,Ari,Null,None,0,Null,0,0,0
2476,Jarius Wright,WR,26,70,180,Min,Null,None,0,Null,0,0,0
639,Jarius Wynn,DL,29,75,285,Buf,Null,None,0,Null,0,0,0
847,Jaron Brown,WR,25,74,205,Ari,Null,None,0,Null,0,0,0
1706,Jarrett Boykin,WR,26,74,215,Car,Null,None,0,Null,0,0,0
1530,Jarvis Harrison,OL,24,76,330,NYJ,Null,None,0,Null,0,0,0
480,Jarvis Jenkins,DL,27,76,315,Chi,Null,None,0,Null,0,0,0
277,Jarvis Jones,LB,26,75,248,Pit,NYJ,Concussion,1,1,1,14,1
1198,Jarvis Landry,WR,23,71,202,Mia,Null,None,0,Null,0,0,0
2285,Jason Ankrah,LB,24,75,262,Hou,Null,None,0,Null,0,0,0
975,Jason Avant,WR,32,72,210,KC,Null,None,0,Null,0,0,0
1503,Jason Babin,LB,35,75,267,NYJ,Null,None,0,Null,0,0,0
226,Jason Campbell,QB,33,77,235,Cle,Pit,Concussion,1,0,1,8,1
1183,Jason Fox,OL,27,78,310,Mia,Null,None,0,Null,0,0,0
188,Jason Hatcher,DL,33,78,302,Dal,Wsh,Concussion,1,0,0,3,1
1587,Jason Jones,DL,29,77,275,Det,Null,None,0,Null,0,0,0
1272,Jason Kelce,OL,28,75,295,Phi,Null,None,0,Null,0,0,0
2383,Jason McCourty,DB,28,72,193,Ten,Null,None,0,Null,0,0,0
1284,Jason Peters,OL,33,76,328,Phi,Null,None,0,Null,0,0,0
1417,Jason Pierre-Paul,DL,26,77,278,NYG,Null,None,0,Null,0,0,0
270,Jason Pinkston,OL,28,75,305,Cle,NYJ,Concussion,1,1,1,12,1
146,Jason Snelling,RB,31,71,223,Atl,NYJ,Concussion,1,0,0,13,1
1757,Jason Trusnik,LB,31,76,250,Car,Null,None,0,Null,0,0,0
965,Jason Verrett,DB,24,70,178,LAC,Null,None,0,Null,0,0,0
509,Jason Weaver,OL,26,77,305,Chi,Null,None,0,Null,0,0,0
839,Jason Williams,LB,29,73,245,TB,Null,None,0,Null,0,0,0
1168,Jason Witten,TE,33,78,263,Dal,Null,None,0,Null,0,0,0
1107,Jasper Brinkley,LB,30,74,252,Dal,Null,None,0,Null,0,0,0
1640,Javess Blue,WR,23,72,188,GB,Null,None,0,Null,0,0,0
281,Javier Arenas,DB,28,69,197,KC,LAC,Head,0,0,0,16,1
932,Javontee Herndon,WR,23,72,194,LAC,Null,None,0,Null,0,0,0
1958,Javorius Allen,RB,24,72,220,Bal,Null,None,0,Null,0,0,0
1170,Jay Ajayi,RB,22,72,221,Mia,Null,None,0,Null,0,0,0
1374,Jay Bromley,DL,23,75,306,NYG,Null,None,0,Null,0,0,0
168,Jay Cutler,QB,32,75,231,Chi,Hou,Concussion,1,0,1,11,1
2331,Jay Prosch,RB,23,73,256,Hou,Null,None,0,Null,0,0,0
229,Jay Ratliff,DL,34,76,287,Chi,SF,Concussion,1,0,3,16,1
1002,Jaye Howard,DL,27,75,301,KC,Null,None,0,Null,0,0,0
1299,Jaylen Watkins,DB,24,71,194,Phi,Null,None,0,Null,0,0,0
1400,Jayron Hosley,DB,25,70,178,NYG,Null,None,0,Null,0,0,0
1651,Jayrone Elliott,LB,31,75,255,GB,Null,None,0,Null,0,0,0
524,Jayson DiManche,LB,25,73,244,Cin,Null,None,0,Null,0,0,0
2041,Je'Ron Hamm,WR,31,75,236,Wsh,Null,None,0,Null,0,0,0
2284,Jeff Adams,OL,26,79,305,Hou,Null,None,0,Null,0,0,0
106,Jeff Allen,OL,25,76,306,KC,LAC,Head,0,1,0,6,1
192,Jeff Cumberland,TE,28,76,260,NYJ,Cin,Concussion,1,1,1,8,1
